Date,Open,High,Low,Close,Adj Close,Volume
2018-05-11,901.835022,949.024048,848.354126,870.375671,647.082031,18409807
2018-05-14,957.413208,957.413208,947.975403,957.413208,711.790222,4282158
2018-05-15,996.213074,1048.645386,996.213074,1048.645386,779.616943,5421855
2018-05-16,1024.526489,1048.645386,964.753723,971.045593,721.925293,4633596
2018-05-17,943.780823,943.780823,874.570251,885.056702,657.996765,5793303
2018-05-18,943.780823,943.780823,885.056702,929.099792,690.740479,6076389
2018-05-21,932.245728,1021.380554,932.245728,1021.380554,759.346863,3772981
2018-05-22,1021.380554,1021.380554,1021.380554,1021.380554,759.346863,0
2018-05-23,1048.645386,1106.320801,919.661987,925.953857,688.401794,6420482
2018-05-24,925.953857,969.996948,891.348572,957.413208,711.790222,3428260
2018-05-25,996.213074,1027.672485,969.996948,1016.137329,755.448730,3003347
2018-05-28,1047.596680,1116.807251,1047.596680,1116.807251,830.291931,4152510
2018-05-29,1048.645386,1143.023438,1048.645386,1143.023438,849.782471,3406503
2018-05-30,1080.104736,1116.807251,1053.888550,1085.347900,806.903442,6134705
2018-05-31,1116.807251,1116.807251,997.261719,997.261719,741.415649,8637310
2018-06-01,1007.748169,1046.548096,979.434753,1029.769775,765.583801,7677746
2018-06-04,1069.618286,1132.536987,1048.645386,1122.050537,834.190125,5805978
2018-06-05,1143.023438,1143.023438,1045.499390,1074.861450,799.107300,7645107
2018-06-06,1085.347900,1179.726074,1085.347900,1179.726074,877.069031,9587254
2018-06-07,1211.185425,1295.077026,1163.996338,1289.833740,958.928772,9649207
2018-06-08,1289.833740,1300.320190,1237.401489,1237.401489,919.947876,8382439
2018-06-11,1289.833740,1316.049927,1258.374390,1268.860840,943.336426,7110585
2018-06-12,1268.860840,1289.833740,1143.023438,1190.212524,884.865173,10915698
2018-06-13,1190.212524,1205.942139,1106.320801,1184.969238,880.967163,7517270
2018-06-14,1174.482788,1221.671875,1132.536987,1132.536987,841.986206,5404746
2018-06-15,1111.564087,1200.698975,1106.320801,1190.212524,884.865173,6928856
2018-06-19,1190.212524,1190.212524,1085.347900,1085.347900,806.903442,5604871
2018-06-20,1101.077637,1101.077637,977.337463,1059.131836,787.413086,14817610
2018-06-21,1074.861450,1106.320801,1035.012939,1035.012939,769.481873,7378441
2018-06-22,992.018494,1059.131836,975.240173,987.823914,734.399109,10802284
2018-06-25,1015.088684,1025.575195,985.726624,995.164429,739.856506,6836361
2018-06-26,986.775269,1090.591187,983.629333,1085.347900,806.903442,8018729
2018-06-27,1085.347900,1158.753174,1069.618286,1069.618286,795.209290,10779848
2018-06-28,1080.104736,1111.564087,1069.618286,1106.320801,822.495789,6067938
2018-06-29,1137.780273,1200.698975,1122.050537,1179.726074,877.069031,9138477
2018-07-02,1216.428589,1289.833740,1205.942139,1289.833740,958.928772,10728239
2018-07-03,1347.509277,1373.725464,1216.428589,1221.671875,908.253845,13985446
2018-07-04,1242.644775,1263.617676,1200.698975,1237.401489,919.947876,6747826
2018-07-05,1247.887939,1284.590576,1127.293701,1169.239624,869.272888,7373981
2018-07-06,1216.428589,1232.158325,1111.564087,1232.158325,916.049927,10726671
2018-07-09,1306.655884,1338.065796,1268.963867,1281.527832,967.417053,9479850
2018-07-10,1306.655884,1331.783813,1268.963867,1312.937866,991.128357,4667518
2018-07-11,1231.271851,1268.963867,1204.887451,1212.425781,915.252380,10065153
2018-07-12,1231.271851,1275.245850,1223.733398,1262.681885,953.190430,8756998
2018-07-13,1287.809814,1294.091797,1251.374268,1253.887085,946.551270,6710743
2018-07-16,1262.681885,1275.245850,1183.528687,1208.656616,912.407043,6730088
2018-07-17,1208.656616,1212.425781,1125.734253,1135.785400,857.397034,12831298
2018-07-18,1192.323486,1199.861816,1040.299072,1080.503906,815.665405,16180909
2018-07-19,1096.837036,1130.759888,1055.375854,1120.708618,846.015747,11697522
2018-07-20,1120.708618,1130.759888,1020.196655,1020.196655,770.139832,12283635
2018-07-23,1023.965881,1059.145020,1007.632690,1059.145020,799.541748,11053454
2018-07-24,1067.939819,1121.965088,1052.863037,1121.965088,846.964233,9676793
2018-07-25,1121.965088,1162.169800,1121.965088,1162.169800,877.314453,7335205
2018-07-26,1174.733887,1184.785034,1144.580200,1149.605835,867.830017,7923347
2018-07-27,1159.657104,1174.733887,1144.580200,1172.221069,884.902161,4930104
2018-07-30,1170.964600,1170.964600,1055.375854,1055.375854,796.696411,8915568
2018-07-31,1022.709473,1067.939819,952.351074,981.248291,740.737976,16778454
2018-08-01,992.555847,1018.940247,972.453491,998.837891,754.016296,9762915
2018-08-02,998.837891,998.837891,899.582275,899.582275,679.088806,14649140
2018-08-03,918.428284,936.017883,858.121094,917.171875,692.367126,19311952
2018-08-06,936.017883,956.120300,908.377075,909.633484,686.676392,9958731
2018-08-07,909.633484,991.299438,909.633484,990.043091,747.377136,12258969
2018-08-08,998.837891,1013.914673,897.069458,932.248657,703.748474,18784399
